"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"269","parzen",0.3698,10,"10","nearest","false","50","featselp",0,"Pixels"
"270","bpxnc",0.53111,10,"10","nearest","false","50","featselp",0,"Pixels"
"271","loglc",0.55384,10,"10","nearest","false","50","featselp",0,"Pixels"
"272","knnc",0.39273,10,"10","nearest","false","50","featselp",0,"Pixels"
"273","treec",NA,10,"10","nearest","false","50","featselp",0,"Pixels"
"274","svc",0.37525,10,"10","nearest","false","50","featselp",0.95,"Pixels"
"275","qdc",0.9,10,"10","nearest","false","50","featselp",0.95,"Pixels"
"276","parzen",0.35727,10,"10","nearest","false","50","featselp",0.95,"Pixels"
"277","bpxnc",0.73495,10,"10","nearest","false","50","featselp",0.95,"Pixels"
"278","loglc",0.47131,10,"10","nearest","false","50","featselp",0.95,"Pixels"
"279","knnc",0.38182,10,"10","nearest","false","50","featselp",0.95,"Pixels"
"280","treec",NA,10,"10","nearest","false","50","featselp",0.95,"Pixels"
"281","svc",0.38636,10,"10","nearest","false","50","featselp",0.8,"Pixels"
"282","qdc",0.80586,10,"10","nearest","false","50","featselp",0.8,"Pixels"
"283","parzen",0.33606,10,"10","nearest","false","50","featselp",0.8,"Pixels"
"284","bpxnc",0.49343,10,"10","nearest","false","50","featselp",0.8,"Pixels"
"285","loglc",0.4103,10,"10","nearest","false","50","featselp",0.8,"Pixels"
"286","knnc",0.35606,10,"10","nearest","false","50","featselp",0.8,"Pixels"
"287","treec",NA,10,"10","nearest","false","50","featselp",0.8,"Pixels"
"288","svc",0.37232,10,"10","nearest","false","0","none",0,"Pixels"
"289","qdc",0.9,10,"10","nearest","false","0","none",0,"Pixels"
"290","parzen",0.32889,10,"10","nearest","false","0","none",0,"Pixels"
"291","bpxnc",0.58657,10,"10","nearest","false","0","none",0,"Pixels"
"292","loglc",0.81778,10,"10","nearest","false","0","none",0,"Pixels"
"293","knnc",0.33848,10,"10","nearest","false","0","none",0,"Pixels"
"294","treec",NA,10,"10","nearest","false","0","none",0,"Pixels"
"295","svc",0.7701,10,"10","nearest","true","5","featselp",0,"Pixels"
"296","qdc",0.8697,10,"10","nearest","true","5","featselp",0,"Pixels"
"297","parzen",0.60798,10,"10","nearest","true","5","featselp",0,"Pixels"
"298","bpxnc",0.6097,10,"10","nearest","true","5","featselp",0,"Pixels"
"299","loglc",0.61848,10,"10","nearest","true","5","featselp",0,"Pixels"
"300","knnc",0.64202,10,"10","nearest","true","5","featselp",0,"Pixels"
"301","treec",NA,10,"10","nearest","true","5","featselp",0,"Pixels"
"302","svc",0.74586,10,"10","nearest","true","5","featselp",0.95,"Pixels"
"303","qdc",0.8697,10,"10","nearest","true","5","featselp",0.95,"Pixels"
"304","parzen",0.60727,10,"10","nearest","true","5","featselp",0.95,"Pixels"
"305","bpxnc",0.5999,10,"10","nearest","true","5","featselp",0.95,"Pixels"
"306","loglc",0.61848,10,"10","nearest","true","5","featselp",0.95,"Pixels"
"307","knnc",0.68071,10,"10","nearest","true","5","featselp",0.95,"Pixels"
"308","treec",NA,10,"10","nearest","true","5","featselp",0.95,"Pixels"
"309","svc",0.70354,10,"10","nearest","true","5","featselp",0.8,"Pixels"
"310","qdc",0.86879,10,"10","nearest","true","5","featselp",0.8,"Pixels"
"311","parzen",0.60788,10,"10","nearest","true","5","featselp",0.8,"Pixels"
"312","bpxnc",0.62394,10,"10","nearest","true","5","featselp",0.8,"Pixels"
"313","loglc",0.64333,10,"10","nearest","true","5","featselp",0.8,"Pixels"
"314","knnc",0.61162,10,"10","nearest","true","5","featselp",0.8,"Pixels"
"315","treec",NA,10,"10","nearest","true","5","featselp",0.8,"Pixels"
"316","svc",0.4297,10,"10","nearest","true","20","featselp",0,"Pixels"
"317","qdc",0.89384,10,"10","nearest","true","20","featselp",0,"Pixels"
"318","parzen",0.40303,10,"10","nearest","true","20","featselp",0,"Pixels"
"319","bpxnc",0.63404,10,"10","nearest","true","20","featselp",0,"Pixels"
"320","loglc",0.53879,10,"10","nearest","true","20","featselp",0,"Pixels"
"321","knnc",0.43162,10,"10","nearest","true","20","featselp",0,"Pixels"
"322","treec",NA,10,"10","nearest","true","20","featselp",0,"Pixels"
"323","svc",0.39566,10,"10","nearest","true","20","featselp",0.95,"Pixels"
"324","qdc",0.8803,10,"10","nearest","true","20","featselp",0.95,"Pixels"
"325","parzen",0.39455,10,"10","nearest","true","20","featselp",0.95,"Pixels"
"326","bpxnc",0.57303,10,"10","nearest","true","20","featselp",0.95,"Pixels"
"327","loglc",0.49131,10,"10","nearest","true","20","featselp",0.95,"Pixels"
"328","knnc",0.41687,10,"10","nearest","true","20","featselp",0.95,"Pixels"
"329","treec",NA,10,"10","nearest","true","20","featselp",0.95,"Pixels"
"330","svc",0.39939,10,"10","nearest","true","20","featselp",0.8,"Pixels"
"331","qdc",0.65869,10,"10","nearest","true","20","featselp",0.8,"Pixels"
"332","parzen",0.3901,10,"10","nearest","true","20","featselp",0.8,"Pixels"
"333","bpxnc",0.54212,10,"10","nearest","true","20","featselp",0.8,"Pixels"
"334","loglc",0.41303,10,"10","nearest","true","20","featselp",0.8,"Pixels"
"335","knnc",0.43202,10,"10","nearest","true","20","featselp",0.8,"Pixels"
"336","treec",NA,10,"10","nearest","true","20","featselp",0.8,"Pixels"
"337","svc",0.41626,10,"10","nearest","true","50","featselp",0,"Pixels"
"338","qdc",0.88606,10,"10","nearest","true","50","featselp",0,"Pixels"
"339","parzen",0.3698,10,"10","nearest","true","50","featselp",0,"Pixels"
"340","bpxnc",0.53111,10,"10","nearest","true","50","featselp",0,"Pixels"
"341","loglc",0.55384,10,"10","nearest","true","50","featselp",0,"Pixels"
"342","knnc",0.39273,10,"10","nearest","true","50","featselp",0,"Pixels"
"343","treec",NA,10,"10","nearest","true","50","featselp",0,"Pixels"
"344","svc",0.37525,10,"10","nearest","true","50","featselp",0.95,"Pixels"
"345","qdc",0.9,10,"10","nearest","true","50","featselp",0.95,"Pixels"
"346","parzen",0.35727,10,"10","nearest","true","50","featselp",0.95,"Pixels"
"347","bpxnc",0.73071,10,"10","nearest","true","50","featselp",0.95,"Pixels"
"348","loglc",0.47131,10,"10","nearest","true","50","featselp",0.95,"Pixels"
"349","knnc",0.38182,10,"10","nearest","true","50","featselp",0.95,"Pixels"
"350","treec",NA,10,"10","nearest","true","50","featselp",0.95,"Pixels"
"351","svc",0.38636,10,"10","nearest","true","50","featselp",0.8,"Pixels"
"352","qdc",0.80586,10,"10","nearest","true","50","featselp",0.8,"Pixels"
"353","parzen",0.33606,10,"10","nearest","true","50","featselp",0.8,"Pixels"
"354","bpxnc",0.48717,10,"10","nearest","true","50","featselp",0.8,"Pixels"
"355","loglc",0.4103,10,"10","nearest","true","50","featselp",0.8,"Pixels"
"356","knnc",0.35606,10,"10","nearest","true","50","featselp",0.8,"Pixels"
"357","treec",NA,10,"10","nearest","true","50","featselp",0.8,"Pixels"
"358","svc",0.37232,10,"10","nearest","true","0","none",0,"Pixels"
"359","qdc",0.9,10,"10","nearest","true","0","none",0,"Pixels"
"360","parzen",0.32889,10,"10","nearest","true","0","none",0,"Pixels"
